artist,genre
Zuni,rain
Rusty Eye,
Olivier Lupin,
Spin Doctors,alternative rock
Sonic Brainwaves,binaural
Stereophonics,britpop
Nature Of Sweden,
Björk,art pop
The Sins Of Thy Beloved,gothic metal
Disturbed,alternative metal
Laura Antelme,
Project Hologram,
Northern Lights,background music
Pim Miles,atmosphere
Edward Elysseus,background music
Arctic Monkeys,garage rock
Good Riddance,melodic hardcore
Phantogram,electropop
Ella Drake,
Daily Calm,rain
Chaima Bergevoet,
Almafuerte,argentine heavy metal
The White Stripes,alternative rock
Gondwana,latin alternative
Jawsh 685,nz pop
Megadeth,album rock
Mikkel Boyer,
Sublime,alternative rock
Pol To Sol,
Quiet Riot,album rock
Carcass,alternative metal
Carligo,sleep
Hidrogenesse,spanish indie pop
Zeb Maessen,sleep
Patricio Rey y sus Redonditos de Ricota,argentine rock
boom boom kid,argentine indie
Madds,gen z singer-songwriter
Creando LatAm,
Billy Squier,album rock
Jagjit Singh,classic bollywood
Sinéad O'Connor,lilith
Sex Pistols,punk
Blur,alternative rock
Szigeti Aliz,background music
Armand DeLuca,
Vampire Weekend,baroque pop
Yonah Stana,
Los De Abajo,latin alternative
Friccion,post-punk argentina
Moments of Clarity,background music
Blund,electro jazz
Brandon Fiechter,middle earth
Violent Femmes,acoustic punk
De Maynes,
Jarabe De Palo,latin
E I S U,
Roy Holtz,
Los Daniels,latin alternative
goldenchildren,lo-fi chill
Bushido,aggro chileno
The Dandy Warhols,alternative dance
Antidoping,latin alternative
Dread Mar I,argentine reggae
Visitors Not Strangers,
Sgt. Papers,latin american heavy psych
Joan Magana,sleep
Aerosmith,album rock
Above & Beyond,edm
Bilbo Hendrix,
Sonidos Suaves,
Dino Warriors,
Gang Of Four,alternative rock
Josep Alba,background music
Sounds of Love,sleep
Silent City,
Psicología Oscura,
Sonido Del Bosque y Naturaleza,musica de fondo
Kinship Networks,
Massagem Guru,musica de fondo
High Sampling,rain
Massimu,sleep
Fun People,argentine hardcore
Naturen,rain
shego,panamanian pop
The Beat,beatlesque
Los Garbanzos,punk tico
Mindful Eclipse,mindfulness
Magazine,alternative rock
Ezechiel Almonte,
ELYX,
Nordic Rain,
Eluvium,ambient
AMBIE,
Resorte,latin alternative
Carl Borg,
Susan Boyle,operatic pop
